Arabic_Saudi_Sentence,English_Terms,Word_Frequency
صاحبي مهووس بسيارات BMW ما يشتري غيرها أبدًا، ويتابع كل إصدار جديد يطلعونه.,BMW,BMW(1)
أمس طلبت matcha من المطعم اللي جنب البيت وكان لذيذ مرة، حتى إني رجعت أطلبه اليوم كمان.,matcha,matcha(1)
قدمت على part-time جديدة وأنتظر الرد من الشركة، وقلبي معلق لين يوصلني الإيميل.,part-time,part-time(1)
شاركت في تحدي taekwondo مع أصحابي هالشهر، وكنا نتنافس على مين يلتزم أكثر.,taekwondo,taekwondo(1)
ما قدرت أختار بين cheesecake و iced coffee فطلبت الاثنين، وطلع القرار صح لأني حبيت الكل.,"cheesecake, iced coffee","cheesecake(1), iced(1), coffee(1)"
أختي معجبة بـ thriller وتتابعه أول بأول، وتحاول ما تفوت ولا حلقة.,thriller,thriller(1)
تعبت من rows بس حسيت بفرق واضح بعدها، ولاحظت تحسن في قوتي العامة.,rows,rows(1)
زملائي حجزوا طاولة في مطعم داخل U Walk للعشاء، وقعدنا نتكلم عن الشغل لين وقت متأخر.,U Walk,"U(1), Walk(1)"
الشباب طلبوا cappuccino وكل واحد أخذ نصيبه بسرعة قبل لا يبرد ويفقد طعمه.,cappuccino,cappuccino(1)
أول مرة أزور KAFD وكان أكبر مما توقعت بكثير، لدرجة إني تهت وأنا أدور المخرج.,KAFD,KAFD(1)
أختي ما تشتري مكياج إلا من Sephora ، وتقول الجودة تفرق عن أي ماركة ثانية.,Sephora,Sephora(1)
في تخرجي طلبت ice cream sundae وكيكة من نفس المطعم لأنهم أفضل مكان جربته بصراحة.,ice cream sundae,"ice(1), cream(1), sundae(1)"
أجلنا الـ appraisal لأن المدير كان مسافر هالأسبوع، وحددنا موعد جديد بعد رجوعه.,appraisal,appraisal(1)
حجزت حصة surfing جديدة في النادي، وتفاجأت إن مستواي أحسن مما كنت أتوقع.,surfing,surfing(1)
كل سبت نروح نلعب squash مع نفس الشلة، وصارت عادة ما نقدر نفوتها.,squash,squash(1)
طلبت قهوة من Tim Hortons وقعدت أراجع الإيميلات المتأخرة، لين ما خلصت كل شي كان متراكم.,Tim Hortons,"Tim(1), Hortons(1)"
راجعت الـ email مرتين قبل ما أرسله للإدارة، عشان أتأكد ما فيه أي خطأ.,email,email(1)
نزّلت trailer وبعدها Spotify ، قعدة سهر كاملة ما ندمت عليها أبدًا.,"trailer, Spotify","trailer(1), Spotify(1)"
طلبنا noodles و burger وقسمناهم بيننا وشبعنا مرة، وقررنا نرجع نفس المكان قريبًا.,"noodles, burger","noodles(1), burger(1)"
حجزت حصة judo جديدة في النادي، وتفاجأت إن مستواي أحسن مما كنت أتوقع.,judo,judo(1)
شفت prequel الجديد وصدمت من نهايته، وقعدت أفكر فيه لين ثاني يوم.,prequel,prequel(1)
شفت مراجعات كثيرة عن trailer قبل لا أشوفه، وأغلبها كانت إيجابية بشكل لافت.,trailer,trailer(2)
شفت عرض حلو في Colours وقررت أرجع أشتريه بكرة قبل لا ينتهي العرض.,Colours,Colours(1)
قرأت عن subtitle في مقال ونال اهتمامي كثير، فبديت أدور معلومات أكثر عنه.,subtitle,subtitle(1)
زميلي طلب salad على الفطور وقالي جربه أنت كمان لأنه فعلاً يستاهل التجربة.,salad,salad(1)
طلبت شنطة Chanel من الموقع الرسمي وانتظرت أسبوع كامل، بس كانت تستاهل الانتظار.,Chanel,Chanel(1)
زميلي مكتبه في T4 وأنا في Tim Hortons ، فنتقابل بس وقت الغدا لأن المسافة بينا بعيدة شوي.,"T4, Tim Hortons","T4(1), Tim(2), Hortons(2)"
