English_Word,Total_Count,Exceeds_Cap_5
The,5,NO
Zone,5,NO
Solitaire,5,NO
Panorama,5,NO
Colours,5,NO
conference,5,NO
Hub,5,NO
tiramisu,5,NO
pull,5,NO
ups,5,NO
badminton,5,NO
T7,5,NO
A8,5,NO
premiere,5,NO
season,5,NO
finale,5,NO
Disney+,5,NO
tricep,5,NO
extensions,5,NO
rom-com,5,NO
bubble,5,NO
tea,5,NO
appraisal,5,NO
meeting,5,NO
CrossFit,5,NO
running,5,NO
A5,5,NO
Kingdom,5,NO
Centre,5,NO
Uptown,5,NO
Granada,5,NO
Netflix,5,NO
presentation,5,NO
Gate,5,NO
Localizer,5,NO
press,5,NO
yoga,5,NO
interview,5,NO
cycling,5,NO
A3,5,NO
documentary,5,NO
blockbuster,5,NO
padel,5,NO
tennis,5,NO
T6,5,NO
Shahid,5,NO
VIP,5,NO
Jax,5,NO
District,5,NO
Boulevard,5,NO
World,5,NO
KAFD,5,NO
First,5,NO
Avenue,5,NO
Lagate,5,NO
lat,5,NO
pulldown,5,NO
Sudra,5,NO
Tea,5,NO
Avenues,5,NO
Marvel,5,NO
Elements,5,NO
judo,5,NO
Nike,5,NO
New,5,NO
Balance,5,NO
animation,5,NO
Uniqlo,5,NO
Centria,5,NO
66,5,NO
Cups,5,NO
HBO,5,NO
prequel,5,NO
workshop,5,NO
Downtown,5,NO
ice,5,NO
cream,5,NO
sundae,5,NO
volleyball,5,NO
latte,5,NO
Mall,5,NO
A6,5,NO
thriller,5,NO
Dunkin,5,NO
KPI,4,NO
iced,4,NO
coffee,4,NO
chocolate,4,NO
burpees,4,NO
plank,4,NO
bicep,4,NO
curls,4,NO
marathon,4,NO
Mercedes,4,NO
Zara,4,NO
golf,4,NO
lunges,4,NO
trailer,4,NO
project,4,NO
series,4,NO
H&M,4,NO
sit,4,NO
Nissan,4,NO
Victoria's,4,NO
Secret,4,NO
downs,4,NO
boxing,4,NO
barbell,4,NO
chai,4,NO
training,4,NO
email,4,NO
T5,4,NO
Pull&Bear,4,NO
warm,4,NO
up,4,NO
rows,4,NO
Crocs,4,NO
invoice,4,NO
Adidas,4,NO
affogato,4,NO
hiking,4,NO
internship,3,NO
basketball,3,NO
steak,3,NO
handball,3,NO
U,3,NO
Walk,3,NO
donut,3,NO
T4,3,NO
Tim,3,NO
Hortons,3,NO
budget,3,NO
brownie,3,NO
Costa,3,NO
swimming,3,NO
City,3,NO
Fresh,3,NO
Kitchen,3,NO
reps,3,NO
Skechers,3,NO
Five,3,NO
Elephants,3,NO
soundtrack,3,NO
crunches,3,NO
A7,3,NO
Puma,3,NO
table,3,NO
deadlifts,3,NO
A2,3,NO
BMW,3,NO
playlist,3,NO
fish&chips,3,NO
Starbucks,3,NO
salad,3,NO
Building,3,NO
13,3,NO
Honda,3,NO
Chok,3,NO
promotion,3,NO
dumbbells,3,NO
Vans,3,NO
G5,3,NO
Lexus,3,NO
Oscar,3,NO
taekwondo,3,NO
feedback,3,NO
spin,3,NO
class,3,NO
ribeye,3,NO
pasta,3,NO
mac&cheese,3,NO
bagel,3,NO
cheesecake,3,NO
Claro,3,NO
Bershka,3,NO
squash,3,NO
milkshake,3,NO
T1,3,NO
cable,3,NO
machine,3,NO
waffle,3,NO
league,3,NO
of,3,NO
Arabia,3,NO
networking,3,NO
resignation,3,NO
LEGO,2,NO
Samsung,2,NO
MAC,2,NO
hot,2,NO
noodles,2,NO
Tesla,2,NO
coach,2,NO
YouTube,2,NO
skating,2,NO
hummus,2,NO
wrap,2,NO
lava,2,NO
cake,2,NO
Kart,2,NO
N,2,NO
Go,2,NO
pizza,2,NO
stretching,2,NO
deadline,2,NO
part-time,2,NO
rugby,2,NO
teamwork,2,NO
leg,2,NO
sequel,2,NO
Chanel,2,NO
apple,2,NO
pie,2,NO
cappuccino,2,NO
football,2,NO
LinkedIn,2,NO
raise,2,NO
iPhone,2,NO
Hanco,2,NO
karate,2,NO
cold,2,NO
brew,2,NO
PlayStation,2,NO
Louis,2,NO
Vuitton,2,NO
streaming,2,NO
Toyota,2,NO
A4,2,NO
americano,2,NO
Bicicleta,2,NO
Red,2,NO
Sea,2,NO
protein,2,NO
shake,2,NO
overtime,2,NO
Gucci,2,NO
Under,2,NO
Armour,2,NO
Apple,2,NO
HIIT,2,NO
chicken,2,NO
alfredo,2,NO
croissant,2,NO
notice,2,NO
period,2,NO
IKEA,2,NO
surfing,2,NO
cupcake,2,NO
deploy,2,NO
Spotify,2,NO
resume,2,NO
shoulder,2,NO
caesar,2,NO
burrito,2,NO
contract,2,NO
tacos,2,NO
bonus,2,NO
episode,2,NO
hotdog,2,NO
report,2,NO
cardio,2,NO
full-time,2,NO
popcorn,1,NO
client,1,NO
burger,1,NO
muffin,1,NO
cool,1,NO
down,1,NO
G6,1,NO
espresso,1,NO
chow,1,NO
mein,1,NO
target,1,NO
onboarding,1,NO
Sony,1,NO
Sephora,1,NO
frappe,1,NO
VR,1,NO
T2,1,NO
matcha,1,NO
match,1,NO
gelato,1,NO
Ole,1,NO
teammate,1,NO
bench,1,NO
personal,1,NO
trainer,1,NO
mocha,1,NO
sets,1,NO
remote,1,NO
work,1,NO
BBQ,1,NO
ribs,1,NO
LG,1,NO
Rolex,1,NO
squats,1,NO
Xbox,1,NO
wings,1,NO
smoothie,1,NO
G3,1,NO
plot,1,NO
twist,1,NO
nuggets,1,NO
treadmill,1,NO
freelance,1,NO
club,1,NO
sandwich,1,NO
subtitle,1,NO
