Mixed_Sentence,English_Terms
حدثت الـ API اليوم واختبرت كل الـ endpoints.,"API, endpoints"
رفعت المشروع على GitHub وسويت commit جديد.,"GitHub, commit"
استخدمت USB جديد عشان أنقل الملفات.,USB
جربت الـ LLM على بيانات جديدة وطلعت النتيجة ممتازة.,LLM
فتحت الـ dashboard وشفت النتائج بسرعة.,dashboard
سويت deploy للتطبيق على الـ server قبل شوي.,"deploy, server"
سجلت دخولي عن طريق SSO عشان أوفر وقت.,SSO
حملت الـ update من الـ App Store الليلة.,"update, App Store"
شغّلت الـ WiFi وربطت الـ laptop بسرعة.,"WiFi, laptop"
استخدمنا Slack للتواصل بين الفريق طول اليوم.,Slack
سوينا merge للـ branch في Git بعد المراجعة.,"merge, branch, Git"
فتحت ticket في Jira عشان أبلغ عن المشكلة.,"ticket, Jira"
شفت error في الـ log file وقفلت السيرفر.,"error, log file"
سويت backup للـ database قبل التحديث.,"backup, database"
رجّعت الـ settings للوضع الافتراضي بعد المشكلة.,settings
استخدمت ChatGPT لمراجعة النص قبل الإرسال.,ChatGPT
شغّلت الـ VPN قبل الدخول على الشبكة.,VPN
ربطت الـ Bluetooth بالـ speaker وشغلت الأغنية.,"Bluetooth, speaker"
لازم نسوي code review قبل ما ندمج الـ pull request.,"code review, pull request"
الـ bug اللي طلع في production خطير، لازم نصلحه بالسرعة!,"bug, production"
حطيت الـ token في الـ environment variables.,"token, environment variables"
اشتغلنا على الـ backend وخلينا الـ frontend لبكرة.,"backend, frontend"
سويت push للتعديلات وانتظرت الـ CI يخلص.,"push, CI"
الـ query بطيء لازم نسوي له optimize.,"query, optimize"
فتحنا الـ terminal وشغلنا الـ script مباشرة.,"terminal, script"
لازم نسوي test للـ feature قبل ما نطلعها.,"test, feature"
ليش الـ container ما يشتغل؟ لازم نتأكد من الـ Docker.,"container, Docker"
رفعنا الـ build الجديد على staging قبل production.,"build, staging, production"
سويت debug للكود عشان ألقى مصدر المشكلة.,debug
اتصلنا بالـ API الخارجي وجبنا الـ response.,"API, response"
الفريق يستخدم Notion لتوثيق الـ documentation.,"Notion, documentation"
سوينا setup لبيئة العمل على الـ cloud.,"setup, cloud"
الـ pipeline توقف بسبب خطأ في الـ config ! لازم نصلحه الحين.,"pipeline, config"
حدثنا الـ dependencies عشان نتفادى مشاكل الأمان.,dependencies
سويت clone للمشروع من الـ repository.,"clone, repository"
الـ function ترجع null بدل القيمة الصحيحة.,"function, null"
اشتغلنا بنظام Agile وسوينا sprint جديد.,"Agile, sprint"
الـ frontend يتكلم مع الـ backend عن طريق REST API.,"frontend, backend, REST API"
لازم نسوي refactor للكود عشان يصير أنظف.,refactor
سويت commit ورسالته كانت واضحة.,commit
عندنا اجتماع standup الساعة تسعة الصبح.,standup
الموقع يحتاج caching عشان يصير أسرع.,caching
حصل conflict وقت الـ merge لازم نحله يدوي.,"conflict, merge"
جرب تستخدم Postman عشان تختبر الـ API !,"Postman, API"
الفريق التقني يشتغل على migration للـ database الجديدة.,"migration, database"
نزلت story جديدة على الـ Instagram الصبح.,"story, Instagram"
ليش الفيديو صار trending على TikTok بسرعة كذا؟,"trending, TikTok"
سويت repost للـ tweet اللي عجبني.,"repost, tweet"
زاد عدد الـ followers بعد الـ collab.,"followers, collab"
حطيت hashtag جديد عشان يوصل المحتوى أكثر.,hashtag
الحساب صار verified بعد سنتين انتظار.,verified
سويت live على Snapchat وتفاعل الناس زين.,"live, Snapchat"
الريلز حصلت views كثير بليلة وحدة.,"reels, views"
سويت block لحساب مزعج على X.,"block, X"
الـ engagement على المنشور قليل هالأسبوع.,engagement
رفعت highlight جديد على البروفايل.,highlight
سويت share للمنشور في الـ group.,"share, group"
الخوارزمية algorithm تفضل الفيديوهات القصيرة.,algorithm
سويت poll في الـ story عشان أعرف رأيهم.,"poll, story"
صار على الحساب suspend بدون سبب واضح، للأسف!,suspend
نزلت reel وحطيت caption مضحك.,"reel, caption"
الـ comments تحت البوست كلها إيجابية.,comments
سويت follow للحساب الجديد اللي فتحوه.,follow
الترند اللي صار الأسبوع هذا كان عن الذكاء الاصطناعي.,trend
سويت mute لقروب الواتساب لأنه مزعج.,mute
الفيديو انتشر واخذ فيرال viral بسرعة.,viral
حط filter حلو على الصورة قبل ما تنزلها!,filter
الحساب الرسمي رد على الـ DM مباشرة.,DM
عدد الـ likes زاد بعد ما سويت boost للمنشور.,"likes, boost"
سويت unfollow لحسابات كثير ما تفيدني.,unfollow
البث المباشر كان فيه Q&A مع المتابعين.,Q&A
الصفحة وصلت لعدد كبير من الـ reach هالشهر.,reach
أرسلت الرابط في الـ bio عشان يشوفونه.,bio
الإعلان كان targeted لفئة معينة من الناس.,targeted
رفعت thread طويل يشرح الموضوع بالتفصيل.,thread
سويت screenshot للمحادثة قبل ما يمسحها.,screenshot
المؤثر سوى review صادق عن المنتج.,review
الحساب صار له content calendar واضح.,content calendar
الميم اللي نزلته انتشر بسرعة رهيبة بين الشباب!,meme
سويت pin لتعليق مهم فوق البوست.,pin
الخوارزمية غيرت الـ feed تبعي تمامًا.,feed
المحتوى صار أكثر engaging بعد التعديل.,engaging
سويت subscribe لقناته الجديدة على YouTube.,"subscribe, YouTube"
الـ analytics تبع الحساب طلعت أرقام زينة.,analytics
سوينا collab مع حساب ثاني بنفس المجال.,collab
أرسلت الـ email وانتظرت الرد.,email
عندنا meeting الساعة عشرة الصبح.,meeting
حضرت الـ presentation وكانت واضحة جدًا.,presentation
الـ deadline قربت ولازم نخلص التقرير.,deadline
رديت على الرسالة في Teams بسرعة.,Teams
سويت follow up مع العميل بخصوص العرض.,follow up
الـ report جاهز وبس ينتظر الموافقة.,report
سوينا schedule لاجتماع الأسبوع الجاي.,schedule
المدير طلب منا نرسل update يومي عن التقدم.,update
سويت CC للمدير في الإيميل عشان يكون على اطلاع.,CC
الاجتماع تحول إلى conference call بسبب السفر.,conference call
لازم نجهز الـ agenda قبل الاجتماع.,agenda
سويت attach للملف قبل ما أرسل الإيميل.,attach
طلبوا مني أسوي draft للعقد الجديد.,draft
